phoneme,start,end
ah,534.09,534.11
n,534.11,534.12
ih,534.12,534.13
g,534.13,534.18
z,534.18,534.19
ae,534.19,534.27
m,534.27,534.26
p,534.26,534.31
ah,534.31,534.28
l,534.28,534.41
p,534.599999,534.65
iy,534.65,534.67
p,534.67,534.7
ah,534.7,534.68
l,534.68,534.75
s,534.86,534.93
p,534.93,534.95
iy,534.95,535.01
k,535.01,535.01
ih,535.01,535.08
ng,535.08,535.14
d,535.29,535.33
ih,535.33,535.35
f,535.35,535.39
r,535.39,535.36
ah,535.36,535.42
n,535.42,535.43
t,535.43,535.44
t,535.57,535.63
ay,535.63,535.64
p,535.64,535.64
s,535.64,535.68
ah,535.75,535.8
v,535.8,535.83
p,535.88,535.95
iy,535.95,535.97
p,535.97,536.05
ah,536.05,536.04
l,536.04,536.26
ah,536.83,537.04
n,537.04,537.01
d,537.01,537.08
ih,537.36,537.45
t,537.45,537.56
sh,537.58,537.8
ow,537.8,537.72
z,537.72,537.81
dh,538.039999,538.11
ae,538.11,538.16
t,538.16,538.27
ih,538.449999,538.57
t,538.57,538.53
s,538.53,538.57
n,538.73,538.93
aa,538.93,538.85
t,538.85,538.95
p,539.629999,539.75
er,539.75,539.73
f,539.73,539.83
eh,539.83,539.78
k,539.78,539.88
t,539.88,539.91
ih,540.07,540.14
t,540.14,540.15
s,540.15,540.16
s,540.52,540.58
ah,540.58,540.59
l,540.59,540.66
uw,540.66,540.66
sh,540.66,540.75
ah,540.75,540.73
n,540.73,540.86
ih,541.369999,541.45
t,541.45,541.44
s,541.44,541.55
ae,541.67,541.85
k,541.85,541.68
ch,541.68,541.95
l,541.95,541.76
iy,541.76,541.85
m,542.14,542.23
ao,542.23,542.22
r,542.22,542.27
d,542.36,542.45
ih,542.45,542.44
f,542.44,542.51
ah,542.51,542.53
k,542.53,542.53
ah,542.53,542.62
l,542.62,542.6
t,542.6,542.68
dh,543.09,543.16
ah,543.16,543.15
n,543.15,543.22
y,543.29,543.33
uw,543.33,543.43
th,543.44,543.51
ih,543.51,543.46
ng,543.46,543.59
k,543.59,543.65
ih,543.67,543.71
t,543.71,543.72
ih,543.7199999999999,543.95
z,543.95,544.05
ah,544.47,544.59
n,544.59,544.54
d,544.54,544.6
iy,544.75,544.86
v,544.86,544.81
ih,544.81,544.89
n,544.89,544.93
ih,544.99,545.05
f,545.05,545.08
y,545.08,545.11
uw,545.11,545.14
d,545.14,545.19
ow,545.19,545.16
n,545.16,545.21
w,545.26,545.27
aa,545.27,545.3
n,545.3,545.28
t,545.28,545.29
t,545.33,545.34
ah,545.34,545.35
w,545.38,545.49
aa,545.49,545.45
ch,545.45,545.46
ih,545.85,545.86
t,545.86,545.91
ao,546.1400000000001,546.2
l,546.2,546.21
y,546.38,546.39
uw,546.39,546.4
hh,546.42,546.5
ae,546.5,546.47
v,546.47,546.53
t,546.62,546.68
ih,546.68,546.73
d,546.73,546.77
uw,546.77,546.87
ih,546.88,546.89
z,546.89,546.9
jh,547.35,547.36
ih,547.36,547.36
s,547.36,547.37
t,547.37,547.38
l,547.43,547.48
uh,547.48,547.44
k,547.44,547.45
ae,547.67,547.68
t,547.68,547.69
ey,548.179999,548.42
v,548.429999,548.54
ih,548.54,548.51
d,548.51,548.58
iy,548.58,548.61
ow,548.61,548.63
w,548.8,548.9
aa,548.9,548.86
ch,548.86,549.01
ah,549.11,549.13
v,549.13,549.21
ih,549.21,549.18
d,549.18,549.26
iy,549.26,549.29
ow,549.29,549.45
t,549.83,549.9
er,549.9,549.94
n,549.94,549.96
dh,550.03,550.08
ah,550.08,550.14
s,550.139999,550.23
aw,550.23,550.23
n,550.23,550.33
d,550.33,550.39
ao,550.48,550.61
f,550.61,550.69
ah,550.98,551.1
n,551.1,551.07
d,551.07,551.14
w,551.27,551.45
er,551.45,551.35
k,551.35,551.42
aw,551.599999,551.61
t,551.61,551.62
hh,551.809999,551.98
aw,551.98,552.06
m,552.059999,552.13
eh,552.13,552.11
n,552.11,552.17
iy,552.17,552.25
w,552.3,552.45
er,552.45,552.37
d,552.37,552.51
z,552.51,552.59
k,552.66,552.74
ah,552.74,552.71
n,552.71,552.76
y,552.84,552.89
uw,552.89,552.91
p,552.929999,553.01
ih,553.01,553.01
k,553.01,553.08
ah,553.16,553.22
p,553.22,553.32
jh,553.54,553.66
ah,553.66,553.62
s,553.62,553.73
t,553.73,553.79
b,553.88,554.04
ay,554.04,554.42
l,554.62,554.7
uh,554.7,554.68
k,554.68,554.74
ih,554.74,554.72
ng,554.72,554.76
ae,554.88,554.95
t,554.95,555.01
p,555.37,555.43
er,555.43,555.45
s,555.45,555.49
ah,555.49,555.51
n,555.51,555.59
z,555.59,555.66
l,555.82,555.93
ih,555.93,555.87
p,555.87,555.99
s,555.99,556.0
g,556.4,556.54
ih,556.54,556.46
v,556.46,556.5
ih,556.639999,556.67
t,556.67,556.73
ah,556.73,556.78
sh,556.779999,556.92
aa,556.92,556.88
t,556.88,556.95
y,557.279999,557.37
uw,557.37,557.43
m,557.43,557.45
ay,557.45,557.54
t,557.54,557.62
b,557.639999,557.69
iy,557.69,557.73
s,557.73,557.79
ah,557.79,557.78
p,557.78,557.85
r,557.85,557.87
ay,557.87,557.99
z,557.99,557.88
d,557.88,558.0
ao,558.359999,558.51
n,558.51,558.75
hh,559.0,559.12
aw,559.12,559.22
l,559.24,559.34
ih,559.34,559.28
t,559.28,559.36
ah,559.36,559.29
l,559.29,559.3
dh,559.42,559.43
ae,559.43,559.43
t,559.43,559.44
y,560.0,560.06
uw,560.06,560.12
k,560.12,560.14
ah,560.14,560.18
n,560.18,560.25
p,560.27,560.35
ih,560.35,560.35
k,560.35,560.38
ah,560.46,560.47
p,560.47,560.48
ih,560.85,560.93
f,560.93,561.0
y,561.0,561.04
uw,561.04,561.1
hh,561.1,561.13
ae,561.13,561.16
v,561.16,561.25
eh,561.3,561.39
n,561.39,561.36
iy,561.36,561.4
ah,561.49,561.57
dh,561.57,561.56
er,561.56,561.62
k,561.7,561.75
w,561.75,561.73
eh,561.73,561.83
s,561.83,561.78
ch,561.78,561.87
ah,561.87,561.82
n,561.82,561.92
z,561.92,561.95
ah,562.08,562.12
b,562.12,562.12
aw,562.12,562.17
t,562.17,562.25
l,562.29,562.35
ih,562.35,562.35
p,562.35,562.4
r,562.46,562.55
iy,562.55,562.51
d,562.51,562.56
ih,562.56,562.52
ng,562.52,562.66
l,562.84,562.99
eh,562.99,562.91
t,562.91,562.96
m,563.12,563.2
iy,563.2,563.25
n,563.25,563.32
ow,563.32,563.47
ih,563.49,563.58
n,563.58,563.65
ah,563.65,563.73
k,563.74,563.87
aa,563.87,563.84
m,563.84,563.92
eh,563.92,563.92
n,563.92,563.96
t,563.96,564.02
b,564.21,564.28
ih,564.28,564.29
l,564.29,564.37
ow,564.37,564.48
b,564.56,564.61
ih,564.61,564.64
k,564.64,564.72
ao,564.72,564.76
z,564.76,564.78
ih,564.98,565.02
t,565.02,565.01
s,565.01,565.04
ih,565.08,565.15
m,565.15,565.17
p,565.17,565.27
ao,565.27,565.27
r,565.27,565.31
t,565.31,565.31
ah,565.31,565.33
n,565.33,565.37
t,565.37,565.42
dh,565.67,565.69
ae,565.69,565.73
t,565.73,565.79
w,565.81,565.86
iy,565.86,565.91
g,565.91,565.95
eh,565.95,565.97
t,565.97,566.03
dh,566.07,566.1
ah,566.1,566.11
ih,566.11,566.17
n,566.17,566.17
f,566.17,566.24
er,566.24,566.2
m,566.2,566.32
ey,566.32,566.24
sh,566.24,566.4
ah,566.4,566.26
n,566.26,566.33
aw,566.63,566.77
t,566.77,566.88
dh,566.88,566.93
eh,566.93,566.97
r,566.97,567.04
ih,567.139999,567.23
z,567.23,567.31
k,567.41,567.54
er,567.54,567.59
eh,567.59,567.63
k,567.63,567.68
t,567.68,567.73
ah,568.21,568.33
n,568.33,568.3
d,568.3,568.32
ih,568.44,568.5
t,568.5,568.5
s,568.5,568.51
ih,568.57,568.65
m,568.65,568.63
p,568.63,568.74
ao,568.74,568.72
r,568.72,568.77
t,568.77,568.75
ah,568.75,568.79
n,568.79,568.8
t,568.8,568.81
dh,569.03,569.04
ah,569.04,569.04
t,569.04,569.05
dh,569.23,569.26
eh,569.26,569.28
r,569.28,569.33
aa,569.36,569.43
r,569.43,569.53
n,569.53,569.61
ow,569.61,569.72
ah,569.78,569.89
s,569.89,569.87
ah,569.87,569.98
m,569.98,569.89
p,569.89,570.06
sh,570.06,569.96
ah,569.96,570.14
n,570.14,570.04
z,570.04,570.24
ao,570.75,570.87
n,570.87,570.98
w,570.98,571.06
ah,571.06,571.03
t,571.03,571.09
ih,571.21,571.31
z,571.31,571.43
l,571.429999,571.49
ih,571.49,571.49
p,571.49,571.56
r,571.769999,571.78
iy,571.78,571.78
d,571.78,571.79
ih,571.79,571.82
ng,571.82,571.92
ih,571.999999,572.08
t,572.08,572.04
s,572.04,572.08
t,572.57,572.6
uw,572.6,572.65
m,572.65,572.7
iy,572.7,572.75
t,572.75,572.83
uw,572.83,572.88
m,572.88,572.93
ey,572.93,572.94
k,572.94,572.98
sh,573.03,573.1
uh,573.1,573.06
r,573.06,573.13
dh,573.2,573.26
ah,573.26,573.26
t,573.26,573.45
y,573.62,573.78
uw,573.78,574.01
n,574.1,574.25
ow,574.25,574.38
ae,574.379999,574.47
z,574.47,574.48
m,574.5,574.61
ah,574.61,574.56
ch,574.56,574.67
eh,574.82,574.89
z,574.89,574.95
p,575.02,575.11
aa,575.11,575.13
s,575.13,575.13
ah,575.13,575.21
b,575.21,575.14
ah,575.14,575.26
l,575.26,575.37
jh,575.709999,575.81
ah,575.81,575.79
s,575.79,575.87
t,575.87,575.88
s,575.959999,576.06
ow,576.06,576.16
dh,576.16,576.22
ae,576.22,576.23
t,576.23,576.31
w,576.38,576.47
iy,576.47,576.55
k,576.55,576.58
ah,576.58,576.62
n,576.62,576.67
ao,576.71,576.84
l,576.84,576.96
k,577.01,577.06
ah,577.06,577.07
m,577.07,577.08
y,577.08,577.08
uw,577.08,577.13
n,577.13,577.09
ah,577.09,577.18
k,577.18,577.18
ey,577.18,577.23
t,577.23,577.29
w,577.46,577.51
ih,577.51,577.5
th,577.5,577.56
iy,577.94,578.03
ch,578.03,578.13
ah,578.13,578.21
dh,578.21,578.21
er,578.21,578.27
ae,578.39,578.49
z,578.49,578.55
w,578.55,578.62
eh,578.62,578.62
l,578.62,578.73
s,578.81,578.93
ow,578.93,579.13
l,579.38,579.52
eh,579.52,579.45
t,579.45,579.49
m,579.63,579.68
iy,579.68,579.72
n,579.72,579.79
ow,579.79,579.82
ih,579.82,579.87
n,579.87,579.9
ah,579.9,579.97
k,579.98,580.09
aa,580.09,580.08
m,580.08,580.14
eh,580.14,580.17
n,580.17,580.19
t,580.19,580.26
ah,580.61,580.69
n,580.69,580.62
d,580.62,580.63
dh,580.97,581.03
eh,581.03,580.98
r,580.98,580.99
jh,581.41,581.47
ah,581.47,581.45
s,581.45,581.52
t,581.52,581.56
m,581.61,581.76
ey,581.76,581.7
k,581.7,581.79
sh,581.94,582.02
uh,582.02,581.99
r,581.99,582.07
y,582.15,582.19
uw,582.19,582.26
hh,582.26,582.31
ih,582.31,582.3
t,582.3,582.37
dh,582.42,582.44
ae,582.44,582.47
t,582.47,582.51
s,582.54,582.61
ah,582.61,582.57
b,582.57,582.68
s,582.68,582.63
k,582.63,582.73
r,582.73,582.66
ay,582.66,582.84
b,582.84,582.87
b,582.99,583.04
ah,583.04,583.08
t,583.08,583.06
ah,583.06,583.12
n,583.12,583.2
s,583.27,583.28
ow,583.28,583.29
y,583.8,583.87
uw,583.87,583.9
d,583.9,583.95
ow,583.95,583.93
n,583.93,584.0
t,584.0,584.03
m,584.059999,584.13
ih,584.13,584.13
s,584.13,584.25
eh,584.389999,584.52
n,584.52,584.47
iy,584.47,584.68
eh,584.95,585.03
p,585.03,585.03
ah,585.03,585.09
s,585.09,585.13
ow,585.13,585.23
d,585.23,585.33
ah,585.7,585.79
v,585.79,585.88
dh,585.88,585.89
ih,585.89,585.93
s,585.93,586.0
ah,586.01,586.06
m,586.06,586.1
ey,586.1,586.11
z,586.11,586.14
ih,586.14,586.14
ng,586.14,586.19
t,586.32,586.39
aa,586.39,586.41
p,586.41,586.48
ih,586.48,586.49
k,586.49,586.55
ah,586.719999,586.73
v,586.73,586.74
d,587.23,587.31
eh,587.31,587.29
f,587.29,587.35
ah,587.429999,587.51
w,587.51,587.5
eh,587.5,587.59
r,587.59,587.61
n,587.61,587.62
ah,587.62,587.68
s,587.68,587.76
ae,588.02,588.15
z,588.15,588.22
w,588.219999,588.3
eh,588.3,588.3
l,588.3,588.44
ih,588.82,588.92
n,588.92,588.94
dh,588.94,588.95
iy,588.95,589.03
m,589.03,589.08
iy,589.08,589.09
n,589.09,589.12
t,589.12,589.19
ay,589.19,589.26
m,589.26,589.33
ay,589.53,589.6
hh,589.599999,589.66
ow,589.66,589.65
p,589.65,589.71
t,589.77,589.79
ih,589.79,589.8
y,590.2,590.29
uw,590.29,590.42
ah,590.45,590.53
g,590.53,590.56
eh,590.56,590.63
n,590.63,590.8
s,590.94,591.08
uw,591.08,591.05
n,591.05,591.19
t,591.74,591.83
ey,591.83,591.83
k,591.83,591.84
k,591.929999,592.0
eh,592.0,592.04
r,592.04,592.17
s,593.4599989999999,593.47
uw,593.47,593.47
dh,593.47,593.48
ih,593.48,593.48
ng,593.48,593.49
b,593.5099989999999,593.52
iy,593.52,593.52
t,593.52,593.53
m,593.5399989999999,593.55
y,593.55,593.55
uw,593.55,593.56
z,593.56,593.56
ih,593.56,593.57
k,593.57,593.58
